----------------------------------------------------------------------------------------------------------
|   Dst IP address  |  Dst port |  Protocol |    Bytes      |  Initial timestamp    |   Final timestamp  |
----------------------------------------------------------------------------------------------------------
| 149.154.167.91  	| 443   	| Tcp     	| 429       	| 2022-11-11 10:47:07 	| 2022-11-11 10:47:07 
| 66.22.238.20    	| 50018 	| Udp     	| 45569     	| 2022-11-11 10:46:57 	| 2022-11-11 10:47:09 
| 192.168.1.100   	| 54954 	| Udp     	| 1773541   	| 2022-11-11 10:46:57 	| 2022-11-11 10:47:10 
| 162.159.130.235 	| 443   	| Tcp     	| 169       	| 2022-11-11 10:47:02 	| 2022-11-11 10:47:02 
| 192.168.1.100   	| 62716 	| Tcp     	| 221       	| 2022-11-11 10:47:07 	| 2022-11-11 10:47:07 
| 66.22.238.10    	| 50020 	| Udp     	| 23000     	| 2022-11-11 10:46:57 	| 2022-11-11 10:47:10 
| 192.168.1.100   	| 62714 	| Tcp     	| 111       	| 2022-11-11 10:47:02 	| 2022-11-11 10:47:02 
| 162.159.138.234 	| 443   	| Tcp     	| 169       	| 2022-11-11 10:46:59 	| 2022-11-11 10:46:59 
| 192.168.1.100   	| 61907 	| Udp     	| 17764     	| 2022-11-11 10:46:57 	| 2022-11-11 10:47:10 
| 162.159.137.234 	| 443   	| Tcp     	| 869       	| 2022-11-11 10:46:57 	| 2022-11-11 10:47:08 
| 192.168.1.100   	| 62676 	| Tcp     	| 157       	| 2022-11-11 10:47:03 	| 2022-11-11 10:47:03 
| 140.82.114.25   	| 443   	| Tcp     	| 161       	| 2022-11-11 10:47:03 	| 2022-11-11 10:47:03 
| 192.168.1.100   	| 59794 	| Udp     	| 45718     	| 2022-11-11 10:47:06 	| 2022-11-11 10:47:10 
| 66.22.238.4     	| 50007 	| Udp     	| 1051953   	| 2022-11-11 10:46:57 	| 2022-11-11 10:47:10 
| 192.168.1.100   	| 62725 	| Tcp     	| 111       	| 2022-11-11 10:46:59 	| 2022-11-11 10:46:59 
| 192.168.1.100   	| 62712 	| Tcp     	| 435       	| 2022-11-11 10:46:57 	| 2022-11-11 10:47:08 
| 224.0.0.251     	| 5353  	| Udp     	| 208       	| 2022-11-11 10:47:02 	| 2022-11-11 10:47:02 
| 192.168.1.100   	| 62557 	| Udp     	| 66198     	| 2022-11-11 10:46:57 	| 2022-11-11 10:47:06 
